course_code,course_time,course_instructors,course_enrollment,course_capacity
EECS 376,MoWe4:30PM-6:00PM,"['Kamil, Amir']",121,140
EECS 388,TuTh12:00PM-1:30PM,"['Halderman, J Alex', 'Honeyman, Peter']",111,120
EECS 388,TuTh1:30PM-3:00PM,"['Halderman, J Alex', 'Honeyman, Peter']",114,120
EECS 402,TuTh4:30PM-6:00PM,"['Morgan, Andrew Michael']",65,80
EECS 411,TuTh3:00PM-4:30PM,"['Mortazawi, Amir']",33,40
EECS 413,MoWe11:30AM-1:00PM,"['Afshari, Ehsan']",63,65
EECS 414,TuTh1:30PM-3:00PM,"['Najafi, Khalil']",43,105
EECS 417,TuTh10:00AM-12:00PM,"['Lempka, Scott Francis']",49,50
EECS 421,MoWe9:00AM-10:30AM,"['Ahmadi, Elaheh']",26,35
EECS 423,TuTh10:30AM-12:00PM,"['Kanicki, Jerzy']",20,20
EECS 423,TuTh10:30AM-12:00PM,[],0,0
EECS 427,MoWe1:30PM-3:00PM,"['Zhang, Zhengya']",66,45
EECS 428,TuTh9:00AM-10:30AM,"['Jiang, Weiwei', 'Steel, Duncan G']",53,65
EECS 428,TuTh9:00AM-10:30AM,"['Steel, Duncan G']",0,0
EECS 434,MoWe3:00PM-4:30PM,"['Islam, Mohammed Nazrul']",19,25
EECS 434,MoWe3:30PM-5:00PM,"['Islam, Mohammed Nazrul']",0,50
EECS 435,TuTh9:00AM-10:30AM,"['Grbic, Anthony']",5,20
EECS 438,WeFr12:00PM-1:00PM,"['Deotare, Parag B']",14,20
EECS 441,MoWe3:00PM-4:30PM,"['Soloway, Elliot']",32,40
EECS 441,MoWe4:30PM-6:00PM,"['Soloway, Elliot']",37,40
EECS 441,TuTh10:30AM-12:00PM,"['Jamin, Sugih']",69,74
EECS 442,MoWe3:00PM-4:30PM,"['Owens, Andrew']",246,270
EECS 444,MoWe12:30PM-2:00PM,"['Subramanian, Vijay Gautam']",6,10
EECS 445,MoWe12:00PM-1:30PM,"['Kutty, Sindhu', 'Wiens, Jenna']",171,240
EECS 445,MoWe1:30PM-3:00PM,"['Kutty, Sindhu', 'Wiens, Jenna']",114,150
EECS 452,TuTh10:30AM-12:00PM,"['Revzen, Shai']",19,32
EECS 455,MoWe9:00AM-10:30AM,"['Stark, Wayne E']",39,55
EECS 458,Mo1:00PM-3:00PM,"['Claflin, Dennis', 'Fan, Xudong']",85,85
EECS 460,MoWe1:30PM-3:00PM,"['Seiler, Peter Joseph']",68,75
EECS 461,TuTh12:00PM-1:30PM,"['Freudenberg, James S']",77,100
EECS 461,TuTh12:00PM-1:30PM,[],0,0
EECS 463,TuTh8:30AM-10:30AM,"['Mathieu, Johanna']",34,40
EECS 467,TuTh10:00AM-11:00AM,"['Gaskell, Peter']",19,48
EECS 470,MoWe3:30PM-5:00PM,"['Brehob, Mark W B']",67,120
EECS 473,TuTh10:30AM-12:00PM,"['Brehob, Mark W B']",87,96
EECS 477,TuTh12:00PM-1:30PM,"['Bodwin, Gregory Michael', 'Yang, Claire']",88,110
