,title,link,class_name,type,credits,seat_capacity,filled_seats
37,CS 1315 Recitation - 94854 - CS 1315R - A05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94854,CS 1315,Recitation,0.000,50,5
38,CS 1315 Recitation - 94853 - CS 1315R - A06,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94853,CS 1315,Recitation,0.000,50,15
39,CS 1315 Recitation - 93536 - CS 1315R - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93536,CS 1315,Recitation,0.000,5,0
40,Intro-Object Orient Prog - 86784 - CS 1331 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=86784,CS 1331,Lecture,3.000,190,189
41,Intro-Object Orient Prog - 82294 - CS 1331 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=82294,CS 1331,Lecture,3.000,198,198
42,Intro-Object Orient Prog - 84145 - CS 1331 - C,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=84145,CS 1331,Lecture,3.000,140,139
43,Intro-Object Orient Prog - 90769 - CS 1331 - D,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90769,CS 1331,Lecture,3.000,150,83
44,Intro-Object Orient Prog - 88999 - CS 1331 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=88999,CS 1331,Lecture,3.000,10,3
45,Intro-Object Orient Prog - 89534 - CS 1331 - O1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=89534,CS 1331,Lecture,3.000,230,229
46,CS 1331 Recitation - 93540 - CS 1331R - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93540,CS 1331,Recitation,0.000,50,49
47,CS 1331 Recitation - 93541 - CS 1331R - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93541,CS 1331,Recitation,0.000,50,49
48,CS 1331 Recitation - 93542 - CS 1331R - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93542,CS 1331,Recitation,0.000,50,5
49,CS 1331 Recitation - 93543 - CS 1331R - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93543,CS 1331,Recitation,0.000,50,44
50,CS 1331 Recitation - 93544 - CS 1331R - A05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93544,CS 1331,Recitation,0.000,50,27
51,CS 1331 Recitation - 93545 - CS 1331R - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93545,CS 1331,Recitation,0.000,50,50
52,CS 1331 Recitation - 93546 - CS 1331R - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93546,CS 1331,Recitation,0.000,50,37
53,CS 1331 Recitation - 93547 - CS 1331R - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93547,CS 1331,Recitation,0.000,50,49
