,course_name,count
0,CMSC100,33
1,CMSC100,17
2,CMSC100,19
3,CMSC106,51
4,CMSC122,83
5,CMSC122,61
6,CMSC125,23
7,CMSC131,25
8,CMSC131,26
9,CMSC131,26
10,CMSC131,33
11,CMSC131,30
12,CMSC131,32
13,CMSC131,31
14,CMSC131,32
15,CMSC131,14
16,CMSC131,27
17,CMSC131,29
18,CMSC131,28
19,CMSC131,27
20,CMSC131,28
21,CMSC131,26
22,CMSC131,27
23,CMSC131,33
24,CMSC131,33
25,CMSC131,31
26,CMSC131,32
27,CMSC131,32
28,CMSC131,33
29,CMSC131,13
30,CMSC131,25
31,CMSC131,25
32,CMSC131,34
33,CMSC131,25
34,CMSC131,16
35,CMSC131,29
36,CMSC131,25
37,CMSC131,15
38,CMSC131,23
39,CMSC131,21
40,CMSC131,153
41,CMSC132,36
42,CMSC132,23
43,CMSC132,26
44,CMSC132,35
45,CMSC132,35
46,CMSC132,33
47,CMSC132,15
48,CMSC132,24
49,CMSC132,35
50,CMSC132,11
51,CMSC132,34
52,CMSC132,8
53,CMSC132,28
54,CMSC132,22
55,CMSC132,23
56,CMSC132,26
57,CMSC132,25
58,CMSC133,16
59,CMSC216,34
60,CMSC216,34
61,CMSC216,12
62,CMSC216,34
63,CMSC216,38
64,CMSC216,38
65,CMSC216,40
66,CMSC216,38
67,CMSC216,38
68,CMSC216,38
69,CMSC216,36
70,CMSC216,36
71,CMSC216,36
72,CMSC216,36
73,CMSC216,36
74,CMSC216,36
75,CMSC216,36
76,CMSC216,37
77,CMSC216,38
78,CMSC216,38
79,CMSC250,36
80,CMSC250,36
81,CMSC250,36
82,CMSC250,36
83,CMSC250,38
84,CMSC250,38
85,CMSC250,37
86,CMSC250,37
87,CMSC250,38
88,CMSC250,38
89,CMSC250,37
90,CMSC250,39
91,CMSC250,9
92,CMSC250,32
93,CMSC250,32
94,CMSC250,35
95,CMSC250,26
96,CMSC250,22
97,CMSC250,23
98,CMSC250,24
99,CMSC320,301
100,CMSC320,71
101,CMSC330,31
102,CMSC330,34
103,CMSC330,33
104,CMSC330,20
105,CMSC330,25
106,CMSC330,17
107,CMSC330,29
108,CMSC330,26
109,CMSC330,35
110,CMSC330,33
111,CMSC330,35
112,CMSC330,34
113,CMSC330,32
114,CMSC330,31
115,CMSC330,27
116,CMSC330,31
117,CMSC330,33
118,CMSC351,234
119,CMSC351,102
120,CMSC351,144
121,CMSC388J,30
122,CMSC388J,29
123,CMSC388U,30
124,CMSC388Y,26
125,CMSC388Z,25
126,CMSC388Z,18
127,CMSC389E,29
128,CMSC389G,14
129,CMSC389N,96
130,CMSC389O,29
131,CMSC389O,30
132,CMSC389O,29
133,CMSC389O,29
134,CMSC389O,28
135,CMSC389T,36
136,CMSC396H,45
137,CMSC411,110
138,CMSC411,86
139,CMSC412,39
140,CMSC412,37
141,CMSC414,96
142,CMSC414,144
143,CMSC416,83
144,CMSC417,76
145,CMSC420,154
146,CMSC420,43
147,CMSC420,158
148,CMSC421,96
149,CMSC421,147
150,CMSC422,130
151,CMSC422,146
152,CMSC423,94
153,CMSC424,215
154,CMSC425,80
155,CMSC426,115
156,CMSC427,54
157,CMSC430,90
158,CMSC433,211
159,CMSC434,55
160,CMSC434,55
161,CMSC435,41
162,CMSC436,151
163,CMSC451,154
164,CMSC470,49
165,CMSC473,21
166,CMSC474,14
167,CMSC498Z,22
168,CMSC624,23
169,CMSC631,31
170,CMSC657,40
171,CMSC715,24
172,CMSC730,40
173,CMSC732,26
174,CMSC734,26
175,CMSC742,65
176,CMSC754,53
177,CMSC756,36
178,CMSC801,33
179,CMSC818E,14
180,CMSC818F,16
181,CMSC828I,57
182,CMSC828J,20
183,CMSC828W,61
184,CMSC828Z,25
185,CMSC829A,21
186,CMSC838G,11
187,CMSC848B,21
188,CMSC858G,28
189,CMSC858O,12
190,CMSC898,13
191,CMSC898,19
192,CMSC898,5
193,CMSC898,5
194,CMSC898,9
195,CMSC898,7
196,CMSC898,7
197,CMSC898,5
198,CMSC898,7
199,CMSC898,5
200,CMSC898,8
201,CMSC899,5
202,CMSC899,5
